172.31.0.3 - - [11/Mar/2024:21:32:33 +0000] "GET /solr/restaurants/select?q=name%3ATest&start=0&rows=1&wt=javabin&version=2 HTTP/1.1" 400 260
192.168.65.1 - - [11/Mar/2024:21:32:46 +0000] "GET /solr/admin/info/logging?_=1710192649946&since=0&wt=json HTTP/1.1" 200 1630
192.168.65.1 - - [11/Mar/2024:21:33:46 +0000] "GET /solr/admin/info/logging?_=1710192649946&since=0&wt=json HTTP/1.1" 200 1630
192.168.65.1 - - [11/Mar/2024:21:34:46 +0000] "GET /solr/admin/info/logging?_=1710192649946&since=0&wt=json HTTP/1.1" 200 1630
192.168.65.1 - - [11/Mar/2024:21:34:57 +0000] "GET /solr/admin/info/logging?_=1710192649946&since=0&wt=json HTTP/1.1" 200 1630
192.168.65.1 - - [11/Mar/2024:21:35:05 +0000] "GET /solr/admin/cores?_=1710192626139&indexInfo=false&wt=json HTTP/1.1" 200 392
192.168.65.1 - - [11/Mar/2024:21:35:05 +0000] "GET /solr/admin/info/system?_=1710192626139&wt=json HTTP/1.1" 200 1424
192.168.65.1 - - [11/Mar/2024:21:35:05 +0000] "GET /solr/admin/info/system?_=1710192626139&wt=json HTTP/1.1" 200 1424
192.168.65.1 - - [11/Mar/2024:21:35:08 +0000] "GET /solr/admin/cores?_=1710192626139&indexInfo=false&wt=json HTTP/1.1" 200 392
192.168.65.1 - - [11/Mar/2024:21:35:08 +0000] "GET /solr/admin/info/system?_=1710192626139&wt=json HTTP/1.1" 200 1427
192.168.65.1 - - [11/Mar/2024:21:35:08 +0000] "GET /solr/restaurants/admin/luke?_=1710192908139&numTerms=0&show=index&wt=json HTTP/1.1" 200 538
192.168.65.1 - - [11/Mar/2024:21:35:08 +0000] "GET /solr/restaurants/admin/system?_=1710192908139&wt=json HTTP/1.1" 200 1555
192.168.65.1 - - [11/Mar/2024:21:35:08 +0000] "GET /solr/restaurants/admin/ping?_=1710192626139&action=status&ts=1710192626139&wt=json HTTP/1.1" 503 458
192.168.65.1 - - [11/Mar/2024:21:35:08 +0000] "GET /solr/restaurants/replication?_=1710192908139&command=details&wt=json HTTP/1.1" 200 438
192.168.65.1 - - [11/Mar/2024:21:35:09 +0000] "GET /solr/admin/cores?_=1710192626139&indexInfo=false&wt=json HTTP/1.1" 200 392
192.168.65.1 - - [11/Mar/2024:21:35:09 +0000] "GET /solr/admin/info/system?_=1710192626139&wt=json HTTP/1.1" 200 1430
192.168.65.1 - - [11/Mar/2024:21:35:09 +0000] "GET /solr/restaurants/config?_=1710192909612&wt=json HTTP/1.1" 200 2391
192.168.65.1 - - [11/Mar/2024:21:35:09 +0000] "GET /solr/restaurants/admin/luke?_=1710192908139&show=schema&wt=json HTTP/1.1" 200 5811
192.168.65.1 - - [11/Mar/2024:21:35:09 +0000] "GET /solr/restaurants/admin/luke?_=1710192908139&numTerms=0&wt=json HTTP/1.1" 200 1258
192.168.65.1 - - [11/Mar/2024:21:35:23 +0000] "GET /solr/admin/cores?_=1710192626139&indexInfo=false&wt=json HTTP/1.1" 200 392
192.168.65.1 - - [11/Mar/2024:21:35:23 +0000] "GET /solr/restaurants/config?_=1710192909612&wt=json HTTP/1.1" 200 2390
192.168.65.1 - - [11/Mar/2024:21:35:23 +0000] "GET /solr/restaurants/admin/luke?_=1710192908139&show=schema&wt=json HTTP/1.1" 200 5811
192.168.65.1 - - [11/Mar/2024:21:35:23 +0000] "GET /solr/admin/info/system?_=1710192626139&wt=json HTTP/1.1" 200 1429
192.168.65.1 - - [11/Mar/2024:21:35:23 +0000] "GET /solr/restaurants/admin/luke?_=1710192908139&numTerms=0&wt=json HTTP/1.1" 200 1258
192.168.65.1 - - [11/Mar/2024:21:35:27 +0000] "GET /solr/admin/cores?_=1710192626139&indexInfo=false&wt=json HTTP/1.1" 200 392
192.168.65.1 - - [11/Mar/2024:21:35:27 +0000] "GET /solr/restaurants/config?_=1710192909612&wt=json HTTP/1.1" 200 2390
192.168.65.1 - - [11/Mar/2024:21:35:27 +0000] "GET /solr/admin/info/system?_=1710192626139&wt=json HTTP/1.1" 200 1431
192.168.65.1 - - [11/Mar/2024:21:35:27 +0000] "GET /solr/restaurants/admin/luke?_=1710192908139&show=schema&wt=json HTTP/1.1" 200 5811
192.168.65.1 - - [11/Mar/2024:21:35:27 +0000] "GET /solr/restaurants/admin/luke?_=1710192908139&numTerms=0&wt=json HTTP/1.1" 200 1258
192.168.0.3 - - [11/Mar/2024:21:37:05 +0000] "GET /solr/restaurants/restaurants/select?q=name%3ATest&start=0&rows=1&wt=javabin&version=2 HTTP/1.1" 404 96
192.168.16.3 - - [11/Mar/2024:21:40:52 +0000] "GET /solr/restaurants/select?q=name%3ATest&start=0&rows=1&wt=javabin&version=2 HTTP/1.1" 400 260
